Area_sqft,Bedrooms,Bathrooms,Age_years,Parking,Location_Score,Price
884,1,5,24,0,9.7,7774000
1788,1,5,24,0,7.3,9978000
805,6,4,1,1,9.8,11087500
801,5,2,8,1,5.7,7983500
2552,6,1,16,3,7.8,15152000
1077,1,3,14,3,5.9,7429500
937,6,1,22,1,6.2,8159500
1461,1,5,11,2,7.1,9803500
3879,2,3,25,1,5.0,16426500
2605,2,5,18,2,6.9,13877500
1679,2,2,11,2,6.9,10086500
3541,4,3,16,3,5.6,17333500
3016,2,5,23,0,9.6,15746000
1745,5,5,22,1,8.7,12687500
2427,5,5,19,0,5.4,13704500
3012,6,4,22,0,8.6,17082000
3502,6,5,10,3,9.0,20457000
3897,2,2,18,1,5.7,16819500
3770,1,2,24,2,5.0,15495000
2165,1,2,18,3,6.5,10977500
1086,1,1,7,3,7.8,7971000
2561,4,2,4,1,7.9,14723500
3713,3,4,11,1,7.6,18385500
1775,4,1,13,2,5.7,10542500
2667,5,3,10,0,7.4,15194500
1856,6,1,12,1,9.5,13196000
2090,3,5,22,3,9.2,13495000
1282,4,5,15,0,5.1,9277000
3759,1,3,15,1,6.2,16486500
849,2,1,17,0,5.9,5781500
1548,4,3,7,0,6.4,10528000
1124,4,2,18,0,7.2,8514000
2161,4,5,21,0,9.1,13653500
2615,4,2,18,2,7.2,14132500
680,3,4,2,0,9.4,8740000
3120,2,4,14,1,7.0,15420000
1885,3,3,11,0,10.0,12447500
2775,6,3,22,3,5.1,15152500
3663,1,5,7,2,6.7,17550500
1906,2,5,13,3,8.4,12481000
3293,3,3,4,3,9.2,18005500
3796,3,5,5,1,9.8,20156000
3666,1,1,1,2,8.9,17541000
1781,2,3,20,0,8.8,10653500
2355,5,4,17,3,5.3,13812500
2624,1,4,7,2,6.9,13694000
3321,2,4,12,3,7.6,16863500
3398,5,3,23,1,8.9,17903000
2754,2,4,12,3,6.5,14439000
2466,5,2,7,0,6.0,13781000
2465,6,1,12,2,8.1,14967500
3427,4,1,7,3,5.7,16824500
1133,3,3,0,1,7.7,9645500
3617,2,5,22,2,7.7,17539500
3373,2,2,1,3,7.4,16915500
813,4,5,9,2,9.7,10175500
2093,3,3,22,3,7.4,12185500
3625,4,3,20,2,8.0,18187500
3112,3,4,21,0,5.5,14742000
2500,5,5,5,3,5.4,15260000
3397,3,5,16,2,5.1,16529500
1897,5,3,6,0,8.7,13219500
1110,2,2,3,1,6.8,8255000
1212,1,2,16,0,9.0,8142000
1229,4,2,9,3,7.2,9931500
3022,4,3,16,3,6.3,15797000
2037,3,4,24,3,5.3,11349500
2402,1,2,25,2,5.0,10657000
706,3,1,20,2,6.7,6351000
2743,1,4,15,0,6.3,13070500
3333,4,4,18,0,5.4,16125500
2028,1,2,19,2,6.2,10128000
1967,4,2,9,0,5.5,11234500
2402,2,1,22,0,5.5,10807000
1725,2,5,2,3,7.3,11957500
1765,2,1,23,2,6.3,9247500
2992,2,1,17,1,5.6,13362000
766,4,3,14,3,8.2,8761000
3567,1,1,24,1,6.5,14884500
1705,3,5,21,1,6.7,10797500
910,5,4,3,3,6.5,9935000
1798,5,1,17,0,8.0,11443000
2037,5,1,25,3,8.7,12759500
3869,5,3,7,3,7.3,20111500
3932,2,3,18,2,9.4,18922000
990,6,5,25,0,5.1,8755000
2349,5,4,19,0,7.8,14091500
2255,2,5,23,2,5.2,11722500
2433,6,1,17,2,7.2,14245500
3755,4,2,10,0,6.3,17762500
